,Results,Prediction,Accuracy,38/80
0,andy,andy,0.9820112,Match
1,andy,andy,0.9403717,Match
2,andy,andy,0.9819266,Match
3,andy,andy,0.9812789,Match
4,andy,andy,0.9807114,Match
5,andy,jonah,0.38080767,Nope
6,andy,andy,0.9817981,Match
7,andy,andy,0.77099544,Match
8,azfar,azfar,0.593892,Match
9,azfar,azfar,0.5093547,Match
10,azfar,azfar,0.5773826,Match
11,azfar,azfar,0.5930705,Match
12,azfar,azfar,0.5991542,Match
13,azfar,azfar,0.5972782,Match
14,azfar,azfar,0.49666393,Match
15,azfar,zen,0.49834928,Nope
16,ch,ch,0.36916047,Match
17,ch,ch,0.38153505,Match
18,ch,ys,0.29901174,Nope
19,ch,ch,0.36956015,Match
20,ch,ys,0.355646,Nope
21,ch,ch,0.3708296,Match
22,ch,ys,0.31997833,Nope
23,ch,jc,0.32214454,Nope
24,cy,azfar,0.5866757,Nope
25,cy,cy,0.3673715,Match
26,cy,cy,0.35124657,Match
27,cy,cy,0.34604287,Match
28,cy,cy,0.39201835,Match
29,cy,zen,0.49958116,Nope
30,cy,azfar,0.58953243,Nope
31,cy,jonah,0.53384066,Nope
32,gerald,qikai,0.79149085,Nope
33,gerald,ch,0.3693229,Nope
34,gerald,ch,0.42206675,Nope
35,gerald,ch,0.3476727,Nope
36,gerald,ch,0.37255958,Nope
37,gerald,qikai,0.90032953,Nope
38,gerald,gerald,0.9473261,Match
39,gerald,ch,0.37099382,Nope
40,jc,jc,0.34950525,Match
41,jc,ys,0.3172587,Nope
42,jc,jonah,0.42693284,Nope
43,jc,jonah,0.29849273,Nope
44,jc,jc,0.38373953,Match
45,jc,jonah,0.443865,Nope
46,jc,jc,0.31987375,Match
47,jc,ys,0.3935676,Nope
48,jonah,jonah,0.3665325,Match
49,jonah,cy,0.32758844,Nope
50,jonah,jc,0.2697425,Nope
51,jonah,jonah,0.6352092,Match
52,jonah,jonah,0.5516585,Match
53,jonah,jc,0.3092482,Nope
54,jonah,jc,0.26760474,Nope
55,jonah,ys,0.3316444,Nope
56,qikai,qikai,0.9275579,Match
57,qikai,ch,0.39716807,Nope
58,qikai,gerald,0.8109696,Nope
59,qikai,ys,0.36140063,Nope
60,qikai,qikai,0.93494,Match
61,qikai,ys,0.29341444,Nope
62,qikai,ch,0.36194727,Nope
63,qikai,qikai,0.9349971,Match
64,ys,ch,0.38156378,Nope
65,ys,ys,0.42053238,Match
66,ys,jc,0.32121193,Nope
67,ys,ch,0.26930383,Nope
68,ys,ch,0.36918396,Nope
69,ys,ys,0.40571952,Match
70,ys,ys,0.33863014,Match
71,ys,ys,0.4188742,Match
72,zen,jc,0.31561625,Nope
73,zen,jc,0.3914856,Nope
74,zen,azfar,0.59782284,Nope
75,zen,zen,0.49437007,Match
76,zen,andy,0.98157793,Nope
77,zen,cy,0.40973812,Nope
78,zen,zen,0.42328343,Match
79,zen,azfar,0.59800065,Nope
