,Results,Prediction,Accuracy,34/80,42.50%
0,adhy,ys,0.9190728,Nope,
1,adhy,cy,1.1809591,Nope,
2,adhy,adhy,0.77175033,Match,
3,adhy,hr,1.3371778,Nope,
4,adhy,bryce,0.93918824,Nope,
5,adhy,ys,0.76619005,Nope,
6,adhy,hr,0.9728134,Nope,
7,adhy,ys,1.0111681,Nope,
8,adhy,bryce,0.7997686,Nope,
9,adhy,hr,0.78504175,Nope,
10,andy,adhy,1.1381106,Nope,
11,andy,andy,0.9963987,Match,
12,andy,andy,0.7533418,Match,
13,andy,andy,0.9749848,Match,
14,andy,andy,1.2317817,Match,
15,andy,andy,1.1671996,Match,
16,andy,chris,1.2186143,Nope,
17,andy,ys,0.72824454,Nope,
18,andy,cy,1.1673399,Nope,
19,andy,cy,1.0195947,Nope,
20,bryce,ys,1.0473883,Nope,
21,bryce,chris,0.7127313,Nope,
22,bryce,bryce,0.91709775,Match,
23,bryce,hr,1.020454,Nope,
24,bryce,andy,0.8613887,Nope,
25,bryce,adhy,0.5399283,Nope,
26,bryce,hr,0.86184996,Nope,
27,bryce,ys,0.8948464,Nope,
28,bryce,hr,0.90104187,Nope,
29,bryce,hr,1.028329,Nope,
30,chris,andy,0.80617476,Nope,
31,chris,bryce,0.7822785,Nope,
32,chris,chris,1.0121024,Match,
33,chris,hr,0.8733663,Nope,
34,chris,ys,1.219974,Nope,
35,chris,bryce,0.7241324,Nope,
36,chris,adhy,0.89573663,Nope,
37,chris,andy,1.9837255,Nope,
38,chris,hr,1.0054413,Nope,
39,chris,chris,1.0194945,Match,
40,cy,andy,1.7070264,Nope,
41,cy,jc,0.75750524,Nope,
42,cy,cy,1.3129663,Match,
43,cy,adhy,1.0838181,Nope,
44,cy,cy,0.9786221,Match,
45,cy,bryce,0.8279682,Nope,
46,cy,bryce,0.7330071,Nope,
47,cy,jc,0.98415196,Nope,
48,cy,jc,1.301693,Nope,
49,cy,cy,1.8151262,Match,
50,hr,jc,1.1774653,Nope,
51,hr,jc,0.62455595,Nope,
52,hr,jc,1.1011775,Nope,
53,hr,hr,0.939294,Match,
54,hr,bryce,0.94833124,Nope,
55,hr,cy,1.4455386,Nope,
56,hr,chris,0.723329,Nope,
57,hr,ys,1.0089976,Nope,
58,hr,cy,0.8755491,Nope,
59,hr,hr,0.73878086,Match,
60,jc,jc,2.150712,Match,
61,jc,jc,2.364559,Match,
62,jc,jc,2.4465823,Match,
63,jc,jc,2.0664525,Match,
64,jc,jc,1.5028095,Match,
65,jc,jc,2.5142672,Match,
66,jc,jc,2.4127946,Match,
67,jc,jc,2.5042596,Match,
68,jc,jc,2.1864233,Match,
69,jc,jc,1.5432571,Match,
70,ys,ys,1.4973853,Match,
71,ys,ys,0.79738045,Match,
72,ys,ys,1.1258821,Match,
73,ys,ys,1.1794144,Match,
74,ys,ys,0.6797483,Match,
75,ys,ys,2.5578299,Match,
76,ys,ys,1.4530027,Match,
77,ys,ys,0.8014076,Match,
78,ys,ys,1.6539714,Match,
79,ys,ys,1.0181388,Match,
