,Actual,Prediction,Accuracy,54/60 (90.0%)
0,andy,andy,0.989194393157959,match
1,andy,andy,0.9891619682312012,match
2,andy,andy,0.9892156720161438,match
3,andy,andy,0.9892039895057678,match
4,andy,andy,0.9892054796218872,match
5,azfar,azfar,0.9896010756492615,match
6,azfar,azfar,0.9895274639129639,match
7,azfar,azfar,0.9896165132522583,match
8,azfar,azfar,0.989587664604187,match
9,azfar,chris,0.9810609817504883,nope
10,bryce,bryce,0.9810550212860107,match
11,bryce,bryce,0.9936814308166504,match
12,bryce,bryce,0.9935449361801147,match
13,bryce,bryce,0.9934738278388977,match
14,bryce,bryce,0.9934791326522827,match
15,chris,chris,0.309340238571167,match
16,chris,chris,0.981050968170166,match
17,chris,chris,0.9810205698013306,match
18,chris,chris,0.9810576438903809,match
19,chris,chris,0.8738842606544495,match
20,cy,cy,0.9726523160934448,match
21,cy,cy,0.9337452054023743,match
22,cy,cy,0.8633870482444763,match
23,cy,cy,0.9739170074462891,match
24,cy,cy,0.9746764898300171,match
25,gerald,gerald,0.951784610748291,match
26,gerald,gerald,0.9026430249214172,match
27,gerald,gerald,0.9126349091529846,match
28,gerald,gerald,0.9528956413269043,match
29,gerald,gerald,0.9530395865440369,match
30,ken,sz,0.41965362429618835,nope
31,ken,sz,0.5499662756919861,nope
32,ken,ken,0.7686705589294434,match
33,ken,ken,0.8126804828643799,match
34,ken,sz,0.8301352262496948,nope
35,qk,qk,0.9216694831848145,match
36,qk,qk,0.9579873085021973,match
37,qk,qk,0.953024685382843,match
38,qk,qk,0.9537451267242432,match
39,qk,qk,0.959144115447998,match
40,sz,sz,0.8612070679664612,match
41,sz,sz,0.8518956303596497,match
42,sz,sz,0.8622161746025085,match
43,sz,ken,0.7294159531593323,nope
44,sz,sz,0.674945592880249,match
45,vale,vale,0.8624551296234131,match
46,vale,vale,0.9923642873764038,match
47,vale,vale,0.992256760597229,match
48,vale,vale,0.9924032688140869,match
49,vale,vale,0.988817572593689,match
50,ye,ye,0.9826671481132507,match
51,ye,ye,0.9812808632850647,match
52,ye,ye,0.981179416179657,match
53,ye,ye,0.9820550084114075,match
54,ye,ye,0.9829797744750977,match
55,ys,ys,0.9631129503250122,match
56,ys,ys,0.9714131355285645,match
57,ys,qk,0.7004820704460144,nope
58,ys,ys,0.953315019607544,match
59,ys,ys,0.9708770513534546,match
