,Results,Prediction,Accuracy
0,andy,ys,0.572669
1,andy,ken,0.73753965
2,andy,andy,0.94089586
3,andy,ken,0.8169708
4,andy,andy,0.99846125
5,azfar,azfar,0.898631
6,azfar,chris,0.9254962
7,azfar,chris,0.522293
8,azfar,chris,0.43662614
9,azfar,chris,0.5875401
10,bryce,qk,0.9968503
11,bryce,bryce,0.9997383
12,bryce,chris,0.84811884
13,bryce,bryce,0.99650395
14,bryce,bryce,0.9969984
15,chris,chris,0.7084794
16,chris,chris,0.9819728
17,chris,ye,0.92614067
18,chris,chris,0.98478115
19,chris,gerald,0.8614057
20,cy,sz,0.8752975
21,cy,sz,0.88062245
22,cy,sz,0.9648927
23,cy,sz,0.89827406
24,cy,cy,0.9427522
25,gerald,sz,0.96645766
26,gerald,sz,0.99982446
27,gerald,sz,0.99990106
28,gerald,sz,0.9991405
29,gerald,sz,0.99963224
30,ken,ken,0.9984351
31,ken,ken,0.9999969
32,ken,ken,0.9999968
33,ken,ken,0.9999405
34,ken,ken,0.99997795
35,qk,gerald,0.9966642
36,qk,chris,0.9077291
37,qk,chris,0.33560053
38,qk,chris,0.9966073
39,qk,gerald,0.69314563
40,sz,sz,0.9998111
41,sz,sz,0.99983907
42,sz,sz,0.99504304
43,sz,sz,0.99967873
44,sz,sz,0.9999479
45,vale,sz,0.99037254
46,vale,vale,0.99128926
47,vale,vale,0.9999417
48,vale,vale,0.96147007
49,vale,vale,0.97907627
50,ye,ken,0.9989201
51,ye,ken,0.9994299
52,ye,ken,0.9998318
53,ye,ken,0.9998029
54,ye,ken,0.99945277
55,ys,ys,0.9998698
56,ys,ys,0.99963427
57,ys,ys,0.9995227
58,ys,ys,0.90892726
59,ys,ys,0.76453
