,Results,Prediction,Accuracy,
0,andy,andy,0.999982,Match
1,andy,andy,0.99998796,Match
2,andy,ken,0.9998565,Nope
3,andy,andy,0.81782764,Match
4,andy,andy,0.99998724,Match
5,azfar,azfar,0.999821,Match
6,azfar,azfar,0.99981636,Match
7,azfar,azfar,0.9998324,Match
8,azfar,azfar,0.9998338,Match
9,azfar,azfar,0.99983156,Match
10,bryce,bryce,0.75612193,Match
11,bryce,bryce,0.97851014,Match
12,bryce,bryce,0.7773522,Match
13,bryce,bryce,0.6678775,Match
14,bryce,bryce,0.70223975,Match
15,chris,chris,0.9889558,Match
16,chris,chris,0.98955065,Match
17,chris,chris,0.9928725,Match
18,chris,chris,0.7185405,Match
19,chris,chris,0.9916883,Match
20,cy,cy,0.99811256,Match
21,cy,cy,0.99818283,Match
22,cy,cy,0.9982198,Match
23,cy,cy,0.99804544,Match
24,cy,cy,0.9981578,Match
25,gerald,cy,0.99823844,Nope
26,gerald,cy,0.9982577,Nope
27,gerald,cy,0.9982046,Nope
28,gerald,cy,0.99802655,Nope
29,gerald,cy,0.99530256,Nope
30,ken,ken,0.82441056,Match
31,ken,ken,0.9998405,Match
32,ken,sz,0.8776182,Nope
33,ken,ken,0.9108494,Match
34,ken,sz,0.9602116,Nope
35,qk,chris,0.98839754,Nope
36,qk,azfar,0.6537725,Nope
37,qk,chris,0.98924303,Nope
38,qk,chris,0.96596754,Nope
39,qk,azfar,0.9986046,Nope
40,sz,cy,0.998197,Nope
41,sz,cy,0.9982179,Nope
42,sz,cy,0.99812835,Nope
43,sz,cy,0.9982742,Nope
44,sz,cy,0.9733881,Nope
45,vale,sz,0.99870396,Nope
46,vale,sz,0.99917126,Nope
47,vale,sz,0.99842227,Nope
48,vale,sz,0.99910504,Nope
49,vale,sz,0.9928854,Nope
50,ye,ken,0.9998646,Nope
51,ye,ken,0.999841,Nope
52,ye,ken,0.99983406,Nope
53,ye,ken,0.6488479,Nope
54,ye,ken,0.99977344,Nope
55,ys,ken,0.7435872,Nope
56,ys,ken,0.86274254,Nope
57,ys,qk,0.9772998,Nope
58,ys,qk,0.96715873,Nope
59,ys,ys,0.99287134,Match
